success,trial_type,trial_index,time_elapsed,internal_node_id,STUDY_ID,generalMultiple,PROLIFIC_PID,SESSION_ID,batchId,participant_number,genuine_first,choose_pretender,total_points,pretend_instructions,nonpretend_instructions,view_history,rt,responses,question_order,correct,test_part,grid,click_log,final_grid_state,num_clicks,points,cheat,grid_number,replay_log,decision,genuine_player,cheat_player,cheater,noncheater
1.0,fullscreen,0,2375,0.0-0.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,,,,,,,,,,,,,,,,,,
,instructions,1,92649,0.0-1.0-0.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":10712},{""page_index"":1,""viewing_time"":9501},{""page_index"":0,""viewing_time"":1989},{""page_index"":1,""viewing_time"":788},{""page_index"":2,""viewing_time"":18371},{""page_index"":3,""viewing_time"":48908}]",90269.0,,,,,,,,,,,,,,,,,
,survey-multi-choice,2,98777,0.0-1.0-1.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,6126.0,"{""Q0"":""... sink all ships with as <b>few clicks</b> as possible""}",[0],1.0,multichoice_nonpretend,,,,,,,,,,,,,
,instructions,3,106917,0.0-2.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":8138}]",8138.0,,,,,,,,,,,,,,,,,
,Battleships,4,128761,0.0-3.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,,,,,,"[['0', '0', '0', '0'], ['A', '0', 'B', 'B'], ['A', '0', '0', '0'], ['0', '0', '0', '0']]","{'i': [1, 2, 3, 2, 0, 0, 2, 3, 1, 1, 2, 1], 'j': [1, 3, 1, 1, 3, 0, 0, 0, 0, 2, 2, 3], 't': [2788, 4836, 5641, 6206, 7505, 8068, 8667, 10601, 11182, 18441, 19074, 19617], 'hit': ['0', '0', '0', '0', '0', '0', 'A', '0', 'A', 'B', '0', 'B']}","[['sea', 'unknown', 'unknown', 'sea'], ['ship', 'sea', 'ship', 'ship'], ['ship', 'sea', 'sea', 'sea'], ['sea', 'sea', 'unknown', 'unknown']]",12.0,4.0,0.0,,,,,,,
,instructions,5,152606,0.0-4.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":23844}]",23844.0,,,,,,,,,,,,,,,,,
,Battleships,6,200805,0.0-5.0-0.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,,,,,non-pretend,"[['0', 'A', '0', '0', '0'], ['0', 'A', '0', 'B', 'B'], ['0', 'A', '0', '0', '0'], ['0', '0', 'C', '0', '0'], ['0', '0', 'C', '0', '0']]","{'i': [1, 1, 2, 1, 2, 2, 3, 3, 4, 1, 1, 2, 2, 0, 0, 3, 0, 4, 4, 3, 4], 'j': [1, 2, 1, 0, 0, 2, 1, 3, 4, 3, 4, 3, 4, 4, 3, 0, 1, 3, 1, 2, 2], 't': [1741, 2687, 3353, 4144, 4603, 5454, 6370, 7641, 8475, 9570, 10329, 11836, 12257, 12902, 13169, 14153, 14687, 20313, 44725, 45672, 46118], 'hit': ['A', '0', 'A', '0', '0', '0', '0', '0', '0', 'B', 'B', '0', '0', '0', '0', '0', 'A', '0', '0', 'C', 'C']}","[['unknown', 'ship', 'unknown', 'sea', 'sea'], ['sea', 'ship', 'sea', 'ship', 'ship'], ['sea', 'ship', 'sea', 'sea', 'sea'], ['sea', 'sea', 'ship', 'sea', 'unknown'], ['unknown', 'sea', 'ship', 'sea', 'sea']]",21.0,4.0,0.0,8.0,,,,,,
,instructions,7,204010,0.0-5.0-1.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":3200}]",3201.0,,,,,,,,,,,,,,,,,
,Battleships,8,218270,0.0-5.0-0.1,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,,,,,non-pretend,"[['0', '0', '0', '0', '0'], ['0', '0', '0', '0', 'A'], ['0', 'B', 'B', '0', 'A'], ['0', '0', '0', '0', 'A'], ['C', 'C', '0', '0', '0']]","{'i': [1, 2, 3, 2, 2, 2, 3, 1, 4, 4, 4, 3, 4, 0, 1, 1, 0, 2, 3], 'j': [1, 1, 1, 2, 0, 3, 2, 2, 3, 2, 0, 0, 1, 3, 4, 3, 4, 4, 4], 't': [1177, 1905, 2673, 3286, 3756, 4586, 5086, 5686, 6485, 6955, 7458, 8128, 8591, 9577, 10207, 10727, 11357, 11692, 12186], 'hit': ['0', 'B', '0', 'B', '0', '0', '0', '0', '0', '0', 'C', '0', 'C', '0', 'A', '0', '0', 'A', 'A']}","[['unknown', 'unknown', 'unknown', 'sea', 'sea'], ['unknown', 'sea', 'sea', 'sea', 'ship'], ['sea', 'ship', 'ship', 'sea', 'ship'], ['sea', 'sea', 'sea', 'unknown', 'ship'], ['ship', 'ship', 'sea', 'sea', 'unknown']]",19.0,6.0,0.0,0.0,,,,,,
,instructions,9,219291,0.0-5.0-1.1,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":1018}]",1018.0,,,,,,,,,,,,,,,,,
