PROLIFIC_PID,SESSION_ID,STUDY_ID,batchId,cheat,cheat_player,cheater,choose_pretender,click_log,correct,decision,final_grid_state,generalMultiple,genuine_first,genuine_player,grid,grid_number,internal_node_id,noncheater,nonpretend_instructions,num_clicks,participant_number,points,pretend_instructions,question_order,replay_log,responses,rt,success,test_part,time_elapsed,total_points,trial_index,trial_type,view_history
6140620d3e937d82f30ce289,614b4f4e33e1a6d7f63c50fb,614a9c7e0714a6ab06bc69d6,2480,,,,False,,,,,,True,,,,0.0-0.0,,1,,222,,1,,,,,1.0,,5227,64,0,fullscreen,
6140620d3e937d82f30ce289,614b4f4e33e1a6d7f63c50fb,614a9c7e0714a6ab06bc69d6,2480,,,,False,,,,,,True,,,,0.0-1.0-0.0,,1,,222,,1,,,,133344.80000001192,,,138573,64,1,instructions,"[{""page_index"":0,""viewing_time"":19350.100000023842},{""page_index"":1,""viewing_time"":7331.099999964237},{""page_index"":2,""viewing_time"":29859.100000023842},{""page_index"":3,""viewing_time"":76804}]"
6140620d3e937d82f30ce289,614b4f4e33e1a6d7f63c50fb,614a9c7e0714a6ab06bc69d6,2480,,,,False,,1.0,,,,True,,,,0.0-1.0-1.0,,1,,222,,1,[0],,"{""Q0"":""... sink all ships with as <b>few clicks</b> as possible""}",6495.0,,multichoice_nonpretend,145069,64,2,survey-multi-choice,
6140620d3e937d82f30ce289,614b4f4e33e1a6d7f63c50fb,614a9c7e0714a6ab06bc69d6,2480,,,,False,,,,,,True,,,,0.0-2.0,,1,,222,,1,,,,4298.300000011921,,,149368,64,3,instructions,"[{""page_index"":0,""viewing_time"":4298.200000047684}]"
6140620d3e937d82f30ce289,614b4f4e33e1a6d7f63c50fb,614a9c7e0714a6ab06bc69d6,2480,0.0,,,False,"{'i': [0, 0, 3, 3, 1, 2, 1, 1, 2, 0, 3, 0, 2, 2, 1], 'j': [1, 2, 1, 0, 2, 2, 1, 3, 3, 3, 2, 0, 0, 1, 0], 't': [2966.800000011921, 4389.600000023842, 11582.399999976158, 12717.300000011921, 17841, 21030.69999998808, 24098.600000023842, 25786.80000001192, 27937.600000023842, 29359.69999998808, 31076.600000023842, 32894.30000001192, 34428, 35609.80000001192, 36907.10000002384], 'hit': ['0', '0', '0', '0', 'B', '0', '0', 'B', '0', '0', '0', '0', 'A', '0', 'A']}",,,"[['sea', 'sea', 'sea', 'sea'], ['ship', 'sea', 'ship', 'ship'], ['ship', 'sea', 'sea', 'sea'], ['sea', 'sea', 'sea', 'unknown']]",,True,,"[['0', '0', '0', '0'], ['A', '0', 'B', 'B'], ['A', '0', '0', '0'], ['0', '0', '0', '0']]",,0.0-3.0,,1,15.0,222,1.0,1,,,,,,,188361,64,4,Battleships,
6140620d3e937d82f30ce289,614b4f4e33e1a6d7f63c50fb,614a9c7e0714a6ab06bc69d6,2480,,,,False,,,,,,True,,,,0.0-4.0,,1,,222,,1,,,,46355.69999998808,,,234717,64,5,instructions,"[{""page_index"":0,""viewing_time"":46355.19999998808}]"
6140620d3e937d82f30ce289,614b4f4e33e1a6d7f63c50fb,614a9c7e0714a6ab06bc69d6,2480,0.0,,,False,"{'i': [0, 2, 2, 2, 1, 3, 4, 4, 3, 0, 0, 1, 1, 1, 0, 1], 'j': [2, 3, 4, 2, 3, 3, 3, 0, 1, 0, 1, 1, 0, 2, 4, 4], 't': [1837.800000011921, 3751.599999964237, 5842.800000011921, 7264.199999988079, 9229, 10595.5, 11653, 14043.5, 15579.300000011921, 17117.5, 18196.899999976158, 19415.5, 22407.30000001192, 28599.899999976158, 30390.5, 31879.69999998808], 'hit': ['0', 'C', '0', '0', '0', 'C', '0', '0', '0', '0', '0', 'A', 'A', 'A', 'B', 'B']}",,,"[['sea', 'sea', 'sea', 'unknown', 'ship'], ['ship', 'ship', 'ship', 'sea', 'ship'], ['unknown', 'unknown', 'sea', 'ship', 'sea'], ['unknown', 'sea', 'unknown', 'ship', 'unknown'], ['sea', 'unknown', 'unknown', 'sea', 'unknown']]",,True,,"[['0', '0', '0', '0', 'B'], ['A', 'A', 'A', '0', 'B'], ['0', '0', '0', 'C', '0'], ['0', '0', '0', 'C', '0'], ['0', '0', '0', '0', '0']]",4.0,0.0-5.0-0.0,,1,16.0,222,9.0,1,,,,,,non-pretend,268734,64,6,Battleships,
6140620d3e937d82f30ce289,614b4f4e33e1a6d7f63c50fb,614a9c7e0714a6ab06bc69d6,2480,,,,False,,,,,,True,,,,0.0-5.0-1.0,,1,,222,,1,,,,3823.399999976158,,,272560,64,7,instructions,"[{""page_index"":0,""viewing_time"":3822.899999976158}]"
6140620d3e937d82f30ce289,614b4f4e33e1a6d7f63c50fb,614a9c7e0714a6ab06bc69d6,2480,0.0,,,False,"{'i': [1, 0, 0, 1, 2, 4, 3, 0, 4, 3, 0, 4, 3, 4, 4, 2, 2, 2, 2], 'j': [1, 4, 3, 4, 4, 4, 4, 0, 0, 1, 1, 2, 2, 1, 3, 1, 0, 2, 3], 't': [2452.2999999523163, 3968.199999988079, 5761.599999964237, 6911.399999976158, 8126.699999988079, 9635.5, 11496.299999952316, 13039.399999976158, 14469.299999952316, 16152.199999988079, 18775.19999998808, 26298.099999964237, 28502.399999976158, 29571.69999998808, 30624.399999976158, 36270.299999952316, 37296.09999996424, 38558.09999996424, 39509.89999997616], 'hit': ['0', 'B', '0', 'B', '0', '0', '0', '0', '0', '0', '0', 'C', '0', '0', 'C', 'A', '0', 'A', 'A']}",,,"[['sea', 'sea', 'unknown', 'sea', 'ship'], ['unknown', 'sea', 'unknown', 'unknown', 'ship'], ['sea', 'ship', 'ship', 'ship', 'sea'], ['unknown', 'sea', 'sea', 'unknown', 'sea'], ['sea', 'sea', 'ship', 'ship', 'sea']]",,True,,"[['0', '0', '0', '0', 'B'], ['0', '0', '0', '0', 'B'], ['0', 'A', 'A', 'A', '0'], ['0', '0', '0', '0', '0'], ['0', '0', 'C', 'C', '0']]",3.0,0.0-5.0-0.1,,1,19.0,222,6.0,1,,,,,,non-pretend,314150,64,8,Battleships,
6140620d3e937d82f30ce289,614b4f4e33e1a6d7f63c50fb,614a9c7e0714a6ab06bc69d6,2480,,,,False,,,,,,True,,,,0.0-5.0-1.1,,1,,222,,1,,,,2878.900000035763,,,317031,64,9,instructions,"[{""page_index"":0,""viewing_time"":2878.600000023842}]"
